room_number,class_name,class_code,day,time,end_time
5-Xona,Starter Best 08:00,TCH-018-STARTER-BEST-08-00,Monday,08:00,09:30
5-Xona,Starter Best 08:00,TCH-018-STARTER-BEST-08-00,Wednesday,08:00,09:30
5-Xona,Starter Best 08:00,TCH-018-STARTER-BEST-08-00,Friday,08:00,09:30
1-xona,A2 Flyers,TCH-018-A2-FLYERS,Tuesday,,
1-xona,A2 Flyers,TCH-018-A2-FLYERS,Thursday,,
1-xona,A2 Flyers,TCH-018-A2-FLYERS,Saturday,,
5-Xona,Starter Best 08:00,TCH-018-STARTER-BEST-08-00-2,Monday,08:00,09:30
5-Xona,Starter Best 08:00,TCH-018-STARTER-BEST-08-00-2,Wednesday,08:00,09:30
5-Xona,Starter Best 08:00,TCH-018-STARTER-BEST-08-00-2,Friday,08:00,09:30
2 xona,fun for movers,TCH-018-FUN-FOR-MOVERS,Monday,,
2 xona,fun for movers,TCH-018-FUN-FOR-MOVERS,Wednesday,,
2 xona,fun for movers,TCH-018-FUN-FOR-MOVERS,Friday,,
6-xona,Matematika 3 16:00 (1),TCH-020-MATEMATIKA-3-16-00,Monday,16:00,17:30
6-xona,Matematika 3 16:00 (1),TCH-020-MATEMATIKA-3-16-00,Thursday,16:00,17:30
6-xona,Matematika 3 16:00 (1),TCH-020-MATEMATIKA-3-16-00,Sunday,16:00,17:30
6-xona,Matematika 3 16:00 (2),TCH-020-MATEMATIKA-3-16-00-2,Monday,16:00,17:30
6-xona,Matematika 3 16:00 (2),TCH-020-MATEMATIKA-3-16-00-2,Thursday,16:00,17:30
6-xona,Matematika 3 16:00 (2),TCH-020-MATEMATIKA-3-16-00-2,Sunday,16:00,17:30
6-xona,Matematika 3 16:00 (3),TCH-020-MATEMATIKA-3-16-00-3,Monday,16:00,17:30
6-xona,Matematika 3 16:00 (3),TCH-020-MATEMATIKA-3-16-00-3,Thursday,16:00,17:30
6-xona,Matematika 3 16:00 (3),TCH-020-MATEMATIKA-3-16-00-3,Sunday,16:00,17:30
